prompt,A,B,C,D,E,answer,category,Function
법인세법령상 지급이자의 손금불산입에 관한 설명으로 옳지 않은 것은?,소득세법에 따른 채권의 이자 중 그 지급 받은자가 불분명한 것으로 서채권의 이자를 당해 채권의 발행법인이 직접 지급하는 경우 그 지급사실이 객관적으로 인정되 지 아니하는 이자는 내국법인의 각 사업연도의 소득금액을 계산할 때 손금에 산입하지 아니한다.,거래일 현재 주민등록표에 의하여 그 거주사실 등이 확인된 채권자가 차입금을 변제 받은 후 소재불명이 된 경우의 차입금에 대한 이자는 채권자가 불분명한 사채의 이자에서 제외한다.,특정차입금에 대한 지급이자등은 건설등이 준공된 날이 속하는 사업연도 종료일까지 이를 자본적 지출로 하여 그 원본에 가산한다.,"특정차입금의 연체로 인하여 생긴 이자를 원본에 가산한 경우 그가산한 금액은 이를 해당 사업연도의 자본적 지출로 하고, 그 원본에 가산한 금액에 대한 지급이자는 이를 손금으로 한다.",국민연금법에 의하여 근로자가 지급받은 것으로 보는 퇴직금전환금(당해 근로자 가 퇴직할 때까지의 기간에 상당하는 금액에 한한다)은 특수관계인에게 해당 법인의 업무와 관련 없이 지급한 가지급금등에서 제외한다.,C,Corporate Tax Law,Thoery
부가가치세법상 부가가치세 과세대상에 해당하는 것은?,사업자가 자기의 사업과 관련하여 사업장 내에서 그 사용인에게 음식용역을 무상으로 제공하는 경우,공급받을 자의 해약으로 인하여공급할 자가 재화 또는 용역의 공급없이 위약금 또는 이와 유사한 손해배상금을 받는 경우,선주와 하역회사 간의 계약으로 하역회사의 선적지연으로 인하여 선주가 하역회사로 부터 체선료를 받는 경우,"사업자가 자기의 사업과 관련하여 생산하거나 취득한 재화를 자기의 과세사업과 관련 한 사후 무료서비스를 제공하기 위하여 사용, 소비하는 경우","사업자가 자기의 고객 중 추첨을 통하여 당첨된 자에게 자기생산, 취득재화를 경품으로 제공하는 경우",E,Added Tax Law,Thoery
부가가치세법상 세금계산서에 관한 설명으로 옳은 것은?,처음 공급한 재화가 환입된 경우 수정세금계산서 또는 수정전자세금계산서의 작성일 에는 처음 세금계산서 작성일을 적고 붉은색 글씨를 쓰거나 음(陰)의 표시를 하여 수 정세금계산서 또는 수정전자세금계산서를 발급할 수 있다.,관할 세무서장은 개인사업자가 전자세금계산서 의무발급 개인사업자에 해당하는 경우 에는 전자세금계산서를 발급하여야 하는 기간이 시작되기 전까지 그 사실을 해당 개 인사업자에게 통지하여야 한다.,자동차운전학원 사업을 하는 일반과세자가 감가상각자산을 공급하는 경우에 그 공급 받는 사업자가 사업자등록증을 제시하고 세금계산서의 발급을 요구하면 세금계산서를 발급해야 한다.,법인사업자가 전자세금계산서를 발급하였을 때에는 전자세금계산서 발급일의 다음달 10일까지 전자세금계산서 발급명세를 국세청장에게 전송하여야 한다.,매입자발행세금계산서를 발행하려는 자는 해당 재화 또는 용역의 공급시기가 속하는 과세기간의 종료일부터 1년 이내에 거래사실확인신청서에 거래사실을 객관적으로 입증 할 수 있는 서류를 첨부하여 신청인 관할 세무서장에게 거래사실의 확인을 신청하여야 한다.,C,Added Tax Law,Thoery
부가가치세법상 부가가치세 납세의무가 없는 것은?,농민이 자기농지의 확장 또는 농지개량작업에서 생긴 토사석을 일시적으로 판매하는 경우,청산 중에 있는 내국법인이 상법에 따른 계속등기 여부에 불구하고 사실상 사업 을 계속하는 경우,새마을금고법에 따라 설립된 새마을금고가 사업상 독립적으로 부가가치세가 과세 되는 재화를 공급하는 경우,사업자가 아닌 자가 개인적으로 사용하기 위해 부가가치세가 과세되는 재화를 수입하는 경우,"농민, 어민이 부업으로 소득세가 과세되지 아니하는 민박, 음식물 판매, 특산물 제조, 전통차 제조 및 그 밖에 이와 유사한 활동을 하는 경우",A,Added Tax Law,Thoery
"다음 자료는 제조업을 영위하는 일반과세자인 (주)A가 2023년 제 2기 확정신고기간(2023.10.1.〜12.31.) 중에 공급받은 재화의 거래내역이다. (주)A의 2023년 제2기 확정신고시 부가가치세 매출세액에서 공제하는 매입세액은?
1. 국내거래처로부터 10.1.에 원자재를 구입하였으나 그에 대한 세금계산서(공급가액 60,000,000원, 부가가치세 6,000,000원)는 2024.1.10.에 발급받았다.
2. 기념품을 구입하여 거래처의 창사기념일에 증정하였다. 기념품 구입시 세금 계산서(공급가액 3,000,000원, 부가가치세 300,000원)를 발급받았다.
3. 생산직 직원들의 작업복을 구입하고 세금계산서(공급가액 5,000,000원, 부가 가치세 500,000원)를 발급받았다.
4. 종업원 명절선물을 구입하고 세금계산서(공급가액 4,000,000원, 부가가치세 400,000원)를 발급받았다.","900,000원","1,200,000원","6,500,000원","6,900,000원","7,200,000원",D,Added Tax Law,Calculate
국제조세조정에 관한 법률상 상호합의절차에 관한 설명으로 옳지 않은 것은?,거주자 또는 내국법인과 비거주자 또는 외국법인은 조세조약에 따라 우리나라와 체약 상대국 간에 조세조정이 필요한 경우에는 국세청장에게 상호합의절차의 개시를 신청 할 수 있다.,국세청장은 상호합의절차의 개시 신청을 받거나 직권으로 상호합의절차 개시를 요청 한 경우에는 기획재정부장관에게 보고하여야 한다.,기획재정부장관은 조세조약의 적용 및 해석에 관하여 체약상대국과 협의할 필요성이 있는 경우에는 직권으로 체약상대국의 권한 있는 당국에 상호합의절차 개시를 요청할 수 있다.,체약상대국의 권한 있는 당국에 상호합의절차 개시를 요청한 경우에는 상호합의절차 개시 요청일을 상호합의절차의 개시일로 한다.,상호합의절차가 개시된 경우 상호합의절차의 개시일부터 종료일까지의 기간은 국세 기본법상 불복청구기간과 불복결정기간에 산입하지 아니한다.,D,ETC,Thoery
"제조업을 영위하는 일반과세자인 (주)A의 다음 자료를 이용하여 계산한 2023년 제1기 예정신고기간(2023.1.1.〜3.31.)의 부가가치세 과세표준은? (단, 다음 자료의 금액에는 부가가치세가 포함되어 있지 않음)

2023.1.10.: 제품B를 120,000,000원에 판매하고 그 대금은 1월 말일부터 매월 말일에 10,000,000원씩 12회로 나누어 받기로 하였다.
2023.2.10.:
제품C를 100,000,000원에 주문제작판매하기로 하고 거래처와 계약을 맺었다. 계약상 그 대금은 1.계약시 10%, 2. 40% 완성시 40%, 3. 70% 완성시 30%, 4 인도시 20%를 받기로 하였다. 2023.3.31. 현재 거래처가 확인한 완성도는 40%이다.
2023.3.10.: 제품D를 제작하여 100,000,000원에 판매하기로 하고 거래처와 계약을 맺었다. 계약상 대금은 계약시 20,000,000원을 받고 잔금 80,000,000원은 2023.9.30.에 제품D를 인도하면서 받기로 하였다.","50,000,000원","80,000,000원","100,000,000원","170,000,000원","190,000,000원",D,Added Tax Law,Calculate
"다음은 음식점업(과세유흥장소 아님)을 영위하는 간이과세자 갑 의 2023년 과세기간(2023.1.1.〜12.31.)의 부가가치세 관련 자료이다. 2023년 과세 기간의 부가가치세 차감 납부할 세액(지방소비세 포함)은? (단, 세액공제를 적용 받기 위한 모든 요건을 충족함)

1. 음식점업의 공급대가는 70,000,000원이며, 이 중 신용카드매출전표 발급금 액은 30,000,000원이다.
2. 면세농수산물 구입액은 4,360,000원이며, 모두 계산서 수취분이다.
3. 식기 등 조리용품 구입액은 22,000,000원(부가가치세 2,000,000원 포함)이
며, 세금계산서를 교부받았다.
4. 주방 설비 11,000,000원(부가가치세 1,000,000원 포함)을 공급받았으며, 세
금계산서를 교부받았다.
5. 음식점업의 업종별 부가가치율은 15%이며, 2023년 예정부과기간의 고지납
부세액은 없다.
6. 전자신고세액공제는 고려하지 않는다.","135,000원","150,000원","300,000원","495,000원","510,000원",D,Added Tax Law,Calculate
부가가치세법상 영세율이 적용되지 않는 것은?,관세법에 따른 수입신고 수리 전의 물품으로서 보세구역에 보관하고 있는 물품을 외국으로 반출하는 것으로서 국내사업장에서 계약과 대가수령 등 거래가 이루어지는 것,대한민국 선박에 의하여 채집되거나 잡힌 수산물을 외국으로 반출하는 것,사업자가 국내에서 국내사업장이 없는 비거주자에게 직접 재화를 공급하고 그 대가를 외국환은행에서 원화로 받는 경우,사업자가 국외에서 건설공사를 도급받은 국내사업자로부터 해당 건설공사를 재도급받 아 국외에서 건설용역을 제공하고 그 대가를 원도급자로부터 원화로 받는 경우,"항공사업법에 따른 상업서류 송달용역
",C,Added Tax Law,Thoery
국세기본법상 세무조사에 관한 설명으로 옳지 않은 것은?,납세자에 대한 구체적인 탈세 제보가 있는 경우로서 해당 탈세혐의에 대한 확인이 필요한 사유로 인한 부분조사는 같은 세목 및 같은 과세기간에 대하여 2회를 초과하여 실시할 수 있다.,"무자료거래, 위장, 가공거래등 거래 내용이 사실과 다른 혐의가 있어 실제 거래 내용에 대한 조사가 필요한 경우에는 세무조사 기간의 제한을 받지 아니한다.",세금탈루 혐의가 포착되거나 조사 과정에서 조세범 처벌절차법에 따른 조세범칙조사를 개시하는 경우에는 세무조사 기간을 연장할 수 있다.,세무공무원은 정기선정에 의한 조사 외에 납세자에 대한 구체적인 탈세 제보가 있는 경우에는 세무조사를 할 수 있다.,세무공무원은 부분조사를 실시한 후 해당 조사에 포함되지 아니한 부분에 대하여 조 사하는 경우에는 같은 세목 및 같은 과세기간에 대하여 재조사를 할 수 있다.,A,National Tax Law,Thoery
국세기본법령상 국세환급금과 국세환급가산금에 관한 설명으로 틀린 것은?,명의대여자에 대한 과세를 취소하고 실질귀속자를 납세의무자로 하여 과세하는 경우 명의대여자 대신 실질귀속자가 납부한 것으로 확인된 금액은 실질귀속 자의 기납부세액으로 먼저 공제하고 남은 금액이 있는 경우에는 실질귀속자 에게 환급한다.,적법하게 납부된 후 법률이 개정되어 발생한 국세환급금의 국세환급가산금 기 산일은 개정된 법률의 시행일의 다음 날로 한다.,"국세환급금의 소멸시효는 세무서장이 납세자의 환급청구를 촉구하기 위하여 납세자에게 하는 환급청구의 안내, 통지로 인하여 중단되지 아니한다.",세무서장은 국세환급금으로 결정한 금액을 다른 세무서에 체납된 국세 및 강제징수비에 충당할 수 없다.,모두 정답이다.,D,National Tax Law,Thoery
국세기본법상 심판에 관한 설명으로 옳지 않은 것은?,"조세심판관회의는 담당 조세심판관 3분의 2 이상의 출석으로 개의하고, 출석조세심판관 과반수의 찬성으로 의결한다.","원장이 아닌 상임, 비상임조세심판관의 임기는 3년으로 하고 중임할 수 없다.","조세심판원장은 심판청구를 받으면 이에 관한 조사와 심리를 담당할 주심조세심판관
1명과 배석조세심판관 2명 이상을 지정하여 조세심판관회의를 구성하게 한다.",조세심판관합동회의는 조세심판원장과 상임조세심판관 모두와 상임조세심판관과 같은 수 이상으로 조세심판원장이 지정하는 비상임조세심판관으로 구성한다.,담당 조세심판관은 필요하다고 인정하면 여러 개의 심판사항을 병합하거나 병합된 심판 사항을 여러 개의 심판사항으로 분리할 수 있다.,B,National Tax Law,Thoery
국세기본법령상 과세전적부심사가 배제되는 경우가 아닌 것은?,국제조세조정에 관한 법률에 따라 조세조약을 체결한 상대국이 상호합의 절차의 개시를 요청한 경우,세법에서 규정하는 수시부과의 사유가 있는 경우,과세예고통지를 하는 날부터 국세부과 제척기간의 만료일까지의 기간이 3개월 이하인 경우,조세범 처벌법위반으로 통고처분하는 경우,모두 배제하는 경우가 맞다,E,National Tax Law,Thoery
국세징수법령상 납세담보에 관한 설명으로 옳은 것은?,양도성 예금증서는 납세담보로 제공할 수 있는 유가증권에 해당하지 않는다.,납세담보로서 금전을 제공한 자는 그 금전으로 담보한 국세 및 강제징수비를 납부할 수 없다.,납세보증보험증권은 보험기간이 납세담보를 필요로 하는 기간에 20일을 더한 기간 이상인 것으로 한정한다.,납세담보를 토지로 제공하는 경우에는 담보할 국세의 100분의 110의 가액에 상당하는 담보를 제공할 수 있다.,납세담보를 현금화한 금전으로 징수해야 할 국세 및 강제징수비를 징수하고 남은 금 전이 있는 경우 공매대금의 배분방법에 따라 배분한 후 납세자에게 지급한다.,E,Tax Collection Law,Thoery
국세징수법상 공매의 준비에 관한 설명으로 옳지 않은 것은?,공매보증에 있어 공매보증금액은 공매예정가격의 100분의 10 이상으로 한다.,"공매보증은 금전, 국공채, 증권시장에 상장된 증권, 보험업법에 따른 보험회사가 발행한 보증보험증권의 어느 하나에 해당하는 것으로 한다.",관할 세무서장은 공매재산에 압류와 관계되는 국세보다 우선하는 제한물권 등이 있는 경우 제한물권 등을 매수인에게 인수하게 하거나 매수대금으로 그 제한물권 등에 의하여 담보된 채권을 변제하는데 충분하다고 인정된 경우가 아니면 그 재산을 공매하 지 못한다.,체납자는 제3자의 명의나 계산으로 압류재산을 매수할 수 있다.,관할 세무서장은 거짓 명의로 매수신청을 한 사실이 있는 자에 대해서는 그 사실이 있은 후 2년간 공매장소 출입을 제한하거나 입찰에 참가시키지 아니할 수 있다.,D,Tax Collection Law,Thoery
국세징수법상 강제징수에 관한 설명으로 옳지 않은 것은?,관할 세무서장은 재판상의 가압류 또는 가처분 재산이 강제징수 대상인 경우에도 국세 징수법에 따른 강제징수를 한다.,체납자의 재산에 대하여 강제징수를 시작한 후 체납자인 법인이 합병으로 소멸된 경우 에도 그 재산에 대한 강제징수는 계속 진행하여야 한다.,체납자 또는 제 3자가 압류 재산의 사용 또는 수익을 하는 경우 그 재산의 매각으로 인하여 권리를 이전하기 전까지 이미 거두어들인 천연과실에 대해서는 압류의 효력이 미치지 아니한다.,"급료, 임금, 봉급, 세비, 퇴직연금 또는 그 밖에 계속적 거래관계에서 발생하는 이와 유사 한 채권에 대한 압류의 효력은 체납액을 한도로 하여 압류 후에 발생할 채권에도 미친다.",관할 세무서장은 체납자가 국가 또는 지방자치단체의 재산을 매수한 경우 소유권 이전 전 에는 그 재산에 관한 체납자의 국가 또는 지방자치단체에 대한 권리를 압류할 수 없다.,E,Tax Collection Law,Thoery
"국세징수법상 고액.상습체납자의 감치와 관련된 설명으로 괄호에 들어갈 내용으로 옳은 것은?

법원은 검사의 청구에 따라 체납자가 다음의 사유에 모두 해당하는 경우 결정으로 30일의 범위에서 체납된 국세가 납부될 때까지 그 체납자를 감치에 처할 수 있다. 1. 국세를 3회이상 체납하고 있고, 체납 발생일부터 각 1년이 경과하 였으며, 체납된 국세의 합계액이 ( )억원 이상인 경우
2. 체납된 국세의 납부능력이 있음에도 불구하고 정당한 사유 없이 체납한 경우 3. 국세기본법에 따른 국세정보위원회의 의결에 따라 해당 체납자에 대한
감치 필요성이 인정되는 경우",1,2,3,4,5,B,Tax Collection Law,Thoery
조세범 처벌법상 2년의 징역에 처하는 것이 가능한 행위는?,재화 또는 용역을 공급하지 아니하거나 공급받지 아니하고 부가가치세법에 따른 세금계산서를 발급하거나 발급받은 행위,부가가치세법에 따라 세금계산서를 발급하여야 할 자가 세금계산서를 발 급하지 아니하거나 거짓으로 기재하여 발급한 행위,"부가가치세법에 따라 매출처별 세금계산서 합계표를 제출하여야 할 자가 매출처별 세금계산서합계표를 거짓으로 기재하여 제출한 행위
",부가가치세법에 따라 매입처별 세금계산서합계표를 제출하여야 할 자가 통정하여 매입처별 세금계산서합계표를 거짓으로 기재하여 제출한 행위,모두 틀리다,A,Tax Punishment Law,Thoery
법인세법령상 가산세에 관한 설명으로 옳지 않은 것은?,신용카드 및 현금영수증 발급 불성실 가산세는 신용카드 매출전표를 사실과 다르게 발 급한 금액의 5%(건별로 계산한 금액이 5천원 미만이면 5천원으로 한다)이다.,업무용승용차 관련비용 등을 손금에 산입한 내국법인이 업무용승용차 관련비용 등에 관한 명세서를 제출하지 않은 경우 업무용승용차 관련비용 명세서 제출 불성실가산세가 적용된다.,주식등변동상황명세서를 제출해야하는 내국법인이 명세서를 제출하지 않은 경우 그 주식등의 액면금액의 1%에 해당하는 금액을 가산세로 한다.,기부금영수증을 발급하는 내국법인이 기부금영수증을 사실과 다르게 적어 발급한 경 우 사실과 다르게 발급된 금액의 5%에 해당하는 금액을 가산세로 한다.,소비자상대업종을 영위하는 법인은 그 요건에 해당하는 날이 속하는 달의 말일부터 3 개월 이내에 현금영수증 가맹점으로 가입하지 않은 경우 가입하지 않은 사업연도의 수 입금액의 3%에 해당하는 금액을 가산세로 한다.,E,Corporate Tax Law,Thoery
"조세범 처벌법 제3조의 조세 포탈 등에 관한 설명으로 옳지 않
은 것은?","포탈세액이 5억원 이상인 경우에는 3년 이하의 징역 또는 포탈세액의 3배 이하에 상당하는 벌금에 처한다.
",조세 포탈의 죄를 범한 자에 대해서는 정상(情狀)에 따라 징역형과 벌금형을 병과할 수 있다.,조세 포탈의 죄를 범한 자가 포탈세액에 대하여 국세기본법에 따라 법정신고기한 이 지난 후 6개월 이내에 기한 후 신고를 하였을 때에는 형을 감경할 수 있다.,조세포탈의죄를상습적으로범한자는형의3분의1을가중한다.,"재산의 은닉으로서 조세의 부과와 징수를 불가능하게 하거나 현저히 곤란하게 하는 적극적 행위는 사기나 그 밖의 부정한 행위에 해당한다.
",D,Tax Punishment Law,Thoery
"제조업을 영위하는 영리내국법인 (주)A는 제22기 사업연도(2022.1.1.~ 12.31.) 중 영리내국법인 (주)B가 잉여금의 자본금전입을 결의(2022.3.15.)함에 따라 무상주를 수령하였다. (주)B의 잉여금의 자본금전입 재원이 다음과 같을 경우 (주)A의 의제배당금액은? (단, (주)A는 (주)B의 발행주식총수의 15%를 소유하고 있으며, 수입배당금 익금불산입 규정은 무시하고 주어진 자료 이외에는 고려하지 않 음)

1. (주)B의 잉여금의 자본금전입 재원
- 주식발행초과금: 2,000,000원(채무의 출자전환시 채무면제이익 1,000,000원이
포함되어 있음)
- 자기주식소각이익: 5,000,000원(소각 당시의 시가가 취득가액을 초과하였음)
- 자기주식처분이익: 1,500,000원
- 주식의 포괄적 교환차익: 3,000,000원
- 주식의 포괄적 이전차익: 1,000,000원
- 재평가적립금: 1,400,000원[토지분(재평가세 1% 과세분) 400,000원과 건물분
(재평가세 3% 과세분) 1,000,000원으로 구성되어 있음] - 이월이익잉여금: 10,000,000원
2. (주)B가 보유한 자기주식은 없다.","1,785,000원","2,685,000원
","2,835,000원","3,135,000원","3,435,000원",B,Corporate Tax Law,Calculate
"다음은 영리내국법인 (주)A의 제22기 사업연도(2022.1.1.~12.31.)의 외국납부세액 관련 자료이다. (주)A는 외국에서 사업을 영위하는 외국자회사 (주)B의 의결권 있는 주식 30%를 보유하고 있다. 2020.1.1. (주)B의 주식을 취득 한 이후 지분율에는 변동이 없는 상태이다. (주)A가 외국납부세액공제를 적용할 경우 제22기 법인세 산출세액에서 공제할 외국납부세액은? (단, 주어진 자료 이외 에는 고려하지 않음)

1. (주)B로부터 외국법인세 원천징수세액 200,000원 차감 후 배당금 1,800,000원 을 수령하고 다음과 같이 회계처리하였다.
(차) 현금 1,800,000원 (대) 배당금수익 2,000,000원
선급법인세 200,000원
2. (주)B의 제22기 사업연도(2022.1.1.~12.31.) 소득금액은 5,000,000원이고,
이에 대한 외국법인세는 1,000,000원이다.
3. (주)A의 법인세비용차감전순이익은 150,000,000원이며, 세무상 이월결손금은 없다.","150,000원","170,000원","200,000원","250,000원","300,000원",D,Corporate Tax Law,Calculate
"(주)A는 제조업을 영위하는 영리내국법인이다. (주)A의 제22기 사업 연도(2022.1.1.~12.31.)의 임원전용 업무용승용차 관련 자료가 다음과 같을 경우 손금불산입금액은? (단, 주어진 자료 이외에는 고려하지 않음)

1. (주)A는 업무전용 자동차보험에 가입하였고 업무용승용차 운행기록부를 작성.비치하고 있으며, 제22기 사업연도의 상시근로자 수는 10인이다.
2. (주)A는 리스회사인 (주)B에서 제22기 초에 운용리스(리스기간 3년)로 임원전용 업무용승용차를 임차하였다.
3. 제22기 사업연도에 발생한 업무용승용차 관련비용은 다음과 같다.
구분 손익계산서에 계상한 비용
리스료 30,000,000원
- 자동차보험료 3,000,000원
- 자동차세 2,000,000원
- 수선유지비 1,750,000원
기타 유지비 3,000,000원
4. 제22기 사업연도 운행기록: 총 주행거리 20,000km, 업무용 사용거리 15,000km","8,250,000원","10,750,000원","17,687,500원 ","18,750,000원","24,750,000원
",C,Corporate Tax Law,Calculate
법인세법령상 합병 및 분할 등에 관한 특례의 내용으로 옳지 않은 것은?,적격합병이 아닌 경우 합병법인이 합병으로 피합병법인의 자산을 승계한 경우에는 그 자산을 피합병법인으로부터 합병등기일 현재의 시가로 양도받은 것으로 본다.,"적격합병이 아닌 경우 합병법인이 피합병법인에게 지급한 양도가액과 피합병법인의 합병등기일 현재의 순자산 시가가 서로 일치하지 않으면, 그 차액은 합병매수차익 또 는 합병매수차손으로 한다.",적격분할이 아닌 경우 분할신설법인등이 분할로 분할법인등의 자산을 승계한 경우에 는 그 자산을 분할법인등으로부터 분할등기일 현재의 시가로 양도받은 것으로 본다.,"적격합병을 한 합병법인은 피합병법인의 자산을 시가로 양도받은 것으로 하고, 양도 받은 자산 및 부채의 가액을 합병등기일 현재의 장부가액으로 계상하되 시가에서 피 합병법인의 장부상 장부가액을 뺀 금액은 자산조정계정으로 계상해야 한다.",중소기업간 적격합병인 경우 합병법인이 승계한 피합병법인의 결손금에 대한 공제는 피합병법인으로부터 승계받은 사업에서 발생한 소득금액의 100%를 한도로 한다.,D,Corporate Tax Law,Thoery
법인세법상 납세의무자와 과세소득의 범위에 관한 설명으로 옳지 않은 것은?,내국법인 중 국가와 지방자치단체는 그 소득에 대한 법인세를 납부할 의무가 없다.,비영리내국법인은 청산소득에 대한 법인세를 납부할 의무가 있다.,국내원천소득이 있는 외국법인은 법인세 납세의무가 있다.,"법인세법에 따라 법인세를 원천징수하는 자는 해당 법인세를 납부할 의무가 있다.
","비영리내국법인은 주식, 신주인수권 또는 출자지분의 양도로 인한 수입에 대하여 법인 세 납세의무가 있다.",B,Corporate Tax Law,Thoery
법인세법령상 접대비와 기부금에 관한 설명으로 옳지 않은 것은?,법인이 기부금의 지출을 위하여어음을 발행한 경우에는 그 어음을 발행한 날에 지출 한 것으로 본다.,법인이 기부금을 가지급금 등으로 이연계상한 경우에는 이를 그 지출한 사업연도의 기부금으로 하고 그 후의 사업연도에는 이를 기부금으로 보지 않는다.,내국법인이 한 차례의 접대에 지출한 접대비 중 3만원(경조금은 20만원)을 초과하는 접대비로서 증명서류를 수취하지 않은 것은 전액 손금불산입하고 대표자에 대한 상여로 처분한다.,재화 또는 용역을 공급하는 신용카드 등의 가맹점이 아닌 다른 가맹점의 명의로 작성 된 매출전표 등을 발급받은 경우 해당 지출액은 신용카드 등을 사용하여 지출한 접대 비로 보지 않는다.,법인이 특수관계인 외의 자에게 정당한 사유 없이 자산을 정상가액보다 낮은 가액으로 양도함으로써 실질적으로 증여한 것으로 인정되는 금액은 기부금으로 본다.,A,Corporate Tax Law,Thoery
"법인세법령상 손익의 귀속사업연도 및 자산,부채의 평가에 관한 설명으로 옳지 않은 것은?",중소기업인 법인이 수행하는 계약기간 1년 미만인 건설등의 경우에는 그에 대한 수익과 비용을 각각 그 목적물의 인도일이 속하는 사업연도의 익금과 손금에 산입할 수 있다.,"특정 금융거래정보의 보고 및 이용 등에 관한 법률 제2조제3호에 따른 가상자산은 이동평균법에 따라 평가해야 한다.
",결산을 확정할 때 이미 경과한 기간에 대응하는 임대료 상당액과 이에 대응하는 비용을 해당 사업연도의 수익과 손비로 계상한 경우 및 임대료 지급기간이 1년을 초과하는 경우 이미 경과한 기간에 대응하는 임대료 상당액과 비용은 이를 각각 해당 사업 연도의 익금과 손금으로 한다.,투자 회사등이 결산을 확정할 때증권등의 투자와 관련된 수익중 이미 경과한 기간에 대응하는 이자 및 할인액과 배당소득을 해당 사업연도의 수익으로 계상한 경우에 는 그 계상한 사업연도의 익금으로 한다.,계약의 목적물을 인도하지 않고 목적물의 가액 변동에 따른 차액을 금전으로 정산하는 파생상품의 거래로 인한 손익은 그 거래에서 정하는 대금결제일이 속하는 사업연 도의 익금과 손금으로 한다.,B,Corporate Tax Law,Thoery
"한국채택국제회계기준을 적용하고 있는 영리내국법인 (주)A의 제22 기 사업연도(2022.1.1.~12.31.)의 소득금액조정합계표상 손금산입 및 익금불산입 항목의 합계금액은? [단, 각 항목은 독립적이며 주어진 자료 이외(수입배당금 익 금불산입 규정 포함)에는 고려하지 않음]

1. (주)A의 재무상태표 자산계정 중 매출채권은 150,000,000원이다. 이 금액 에는 당기에 상법에 따른 소멸시효가 완성된 매출채권 2,000,000원이 포함 되어 있다.
2. (주)A는 제22기에 토지를 100,000,000원에 매입하였는데 이에 대한 취득세 4,000,000원과 그 취득세에 관한 가산세 1,000,000원을 납부하고 다음과 같 이 회계처리하였다.
(차) 토지 105,000,000원 (대) 현금 105,000,000원
3. (주)A는 2022년 초 (주)B의 의결권 있는 주식 30%를 30,000,000원에 취득 하였다. 주식 취득일 현재 (주)B의 재무상태표상 순자산가액은 100,000,000 원이고 순자산가액은 공정가치와 일치하였다. (주)A는 2022.5.18. (주)B로 부터 현금배당 500,000원을 받았으며, 2022년 말 (주)B가 당기순이익을 보 고함에 따라 다음과 같이 회계처리하였다.
<2022.5.18.>
(차) 현금 500,000원 (대) 관계기업투자주식 500,000원
<2022.12.31.>
(차) 관계기업투자주식 2,000,000원 (대) 지분법이익 2,000,000원","3,000,000원 ","5,000,000원","5,500,000원","7,000,000원","7,500,000원",B,Corporate Tax Law,Calculate
부가가치세법령상 사업자등록에 관한 설명으로 옳지 않은 것은?,사업장이 둘 이상인 사업자는 사업자 단위로 해당 사업자의 본점또는 주사무소 관할 세무서장에게 등록을 신청할 수 있다.,신규로 제조업을 시작하려는 자는 제조장별로 재화의 제조를 시작하는 날 이전이라도 사업자등록을 신청할 수 있다.,사업장 단위로 등록한 사업자가 사업자 단위 과세 사업자로 변경하려면 사업자 단위 과 세 사업자로 적용받으려는 과세기간 개시 20일 전까지 사업장 관할 세무서장에게 변경 등록을 신청하여야 한다.,사업자 단위로 등록 신청을 한 사업자에게는 사업자 단위 과세 적용 사업장에 한개의 등록번호를 부여한다.,"사업자가 상호를 변경하는 경우에는 지체 없이 사업자의 인적사항, 사업자등록의 변경 사항 및 그 밖의 필요한 사항을 적은 사업자등록 정정신고서를 관할 세무서장이나 그 밖에 신고인의 편의에 따라 선택한 세무서장에게 제출해야 한다.",C,Added Tax Law,Theory
부가가치세법령상 과세대상 거래가 아닌 것은?,사업자가 자기의 과세사업과 관련하여 취득하여 매입세액이 공제된 재화를 자기의 면세 사업을 위하여 직접 사용하는 것,사업자가 외국으로부터 국내에 도착한 물품으로서 수입신고가 수리되기 전의 것을 국내 에 반입하는 것,사업자가 특수관계인에게 사업용 부동산의 임대용역을 시가보다 낮은 대가를 받고 공급하는 것,사업자가 양도담보의 목적으로 부동산상의 권리를 제공하는 것,사업자가 현물출자에 따라 재화를 인도하는 것,D,Added Tax Law,Theory
"다음은 부가가치세 과세사업을 영위하는 (주)A에 관한 자료이 다. 2022년 제1기 예정신고기간(2022.1.1.~3.31.)의 부가가치세 과세표준에 포함 될 금액은? (단, 다음 자료의 금액에는 부가가치세가 포함되어 있지 않으며, 주어진 자료 이외에는 고려하지 않음)

1. 공급단위를 구획할 수 없는 용역을 계속적으로 공급하고 2022.1.5.에 계약 금으로 2,000,000원, 2022.2.20.에 중도금으로 4,000,000원, 2022.4.30.에 잔금으로 3,000,000원을 받기로 하고, 세금계산서는 대금을 받기로 한 날 발행하기로 하였다.
2. 특허권을 2022.4.2.부터 2년간 대여하기로 하고, 2022.3.30.에 대가의 일부 로 받은 1,000,000원에 대하여 전자세금계산서를 발행하였다.
3. 2022.2.20.에 세금계산서를 발행하는 시기(2022.2.20.)와 대금의 지급시기(2022.4.5.)를 명시한 약정서를 작성하고 이에 따라 용역의 공급가액을 5,000,000원으로 하는 전자세금계산서를 발행하였다(용역제공을 완료한 때는 2022.7.10.임).
4. 2022.3.25.에 특수관계인에게 산업상의 지식에 관한 정보를 무상으로 제공하 였으며, 그 시가는 3,000,000원이다.","4,000,000원","6,000,000원","7,000,000원","9,000,000원","12,000,000원",C,Added Tax Law,Calculate
